ts,open,high,low,close,volume
1700000000,120.000000,121.000000,119.000000,120.000000,2000.0
1700003600,120.000000,123.664773,119.000000,122.664773,2000.0
1700007200,122.664773,126.199476,121.664773,125.199476,2000.0
1700010800,125.199476,128.480438,124.199476,127.480438,2000.0
1700014400,127.480438,130.396463,126.480438,129.396463,2000.0
1700018000,129.396463,131.854306,128.396463,130.854306,2000.0
1700021600,130.854306,132.783255,129.854306,131.783255,2000.0
1700025200,131.783255,133.138606,130.783255,132.138606,2000.0
1700028800,132.138606,133.138606,130.903868,131.903868,2000.0
1700032400,131.903868,132.903868,130.091569,131.091569,2000.0
1700036000,131.091569,132.091569,128.742641,129.742641,2000.0
1700039600,129.742641,130.742641,126.924407,127.924407,2000.0
1700043200,127.924407,128.924407,124.727272,125.727272,2000.0
1700046800,125.727272,126.727272,122.260273,123.260273,2000.0
1700050400,123.260273,124.260273,119.645722,120.645722,2000.0
1700054000,120.645722,121.645722,117.013184,118.013184,2000.0
1700057600,118.013184,119.013184,114.493112,115.493112,2000.0
1700061200,115.493112,116.493112,112.210426,113.210426,2000.0
1700064800,113.210426,114.210426,110.278370,111.278370,2000.0
1700068400,111.278370,112.278370,108.792948,109.792948,2000.0
1700072000,109.792948,110.792948,107.828195,108.828195,2000.0
1700075600,108.828195,109.828195,107.432541,108.432541,2000.0
1700079200,108.432541,109.626429,107.432541,108.626429,2000.0
1700082800,108.626429,110.401306,107.626429,109.401306,2000.0
1700086400,109.401306,111.720047,108.401306,110.720047,2000.0
1700090000,110.720047,113.518782,109.720047,112.518782,2000.0
1700093600,112.518782,115.710031,111.518782,114.710031,2000.0
1700097200,114.710031,118.187014,113.710031,117.187014,2000.0
1700100800,117.187014,120.828896,116.187014,119.828896,2000.0
1700104400,119.828896,123.506734,118.828896,122.506734,2000.0
1700108000,122.506734,126.089815,121.506734,125.089815,2000.0
1700111600,125.089815,128.452088,124.089815,127.452088,2000.0
1700115200,127.452088,130.478360,126.452088,129.478360,2000.0
1700118800,129.478360,132.069962,128.478360,131.069962,2000.0
1700122400,131.069962,133.149605,130.069962,132.149605,2000.0
1700126000,132.149605,133.665175,131.149605,132.665175,2000.0
1700129600,132.665175,133.665175,131.592299,132.592299,2000.0
1700133200,132.592299,133.592299,130.935546,131.935546,2000.0
1700136800,131.935546,132.935546,129.728197,130.728197,2000.0
1700140400,130.728197,131.728197,128.030615,129.030615,2000.0
1700144000,129.030615,130.030615,125.927268,126.927268,2000.0
1700147600,126.927268,127.927268,123.522584,124.522584,2000.0
1700151200,124.522584,125.522584,120.935807,121.935807,2000.0
1700154800,121.935807,122.935807,118.295138,119.295138,2000.0
1700158400,119.295138,120.295138,115.731430,116.731430,2000.0
1700162000,116.731430,117.731430,113.371747,114.371747,2000.0
1700165600,114.371747,115.371747,111.333122,112.333122,2000.0
1700169200,112.333122,113.333122,109.716799,110.716799,2000.0
